Unnamed: 0,STATE/UT,DISTRICT,Year,Complain,Risk Level
198,HIMACHAL PRADESH,LAHAUL-SPITI,2001,wife denied financial independence,Medium
199,HIMACHAL PRADESH,MANDI,2001,husband insulted wifes family background,Low
200,HIMACHAL PRADESH,SHIMLA,2001,wife humiliated during social visit,Medium
201,HIMACHAL PRADESH,SIRMAUR,2001,husband forced wife to apologize always,Medium
202,HIMACHAL PRADESH,SOLAN,2001,wife denied her own savings,Medium
203,HIMACHAL PRADESH,UNA,2001,husband insulted wife in front of relatives,Low
204,HIMACHAL PRADESH,TOTAL,2001,wife forced to give dowry,Medium
205,JAMMU & KASHMIR,ANANTNAG,2001,husband insulted wifes parents,Low
206,JAMMU & KASHMIR,AWANTIPORA,2001,wife controlled through constant criticism,Medium
207,JAMMU & KASHMIR,BARAMULLA,2001,husband ignored wifes needs,Medium
208,JAMMU & KASHMIR,BORDER,2001,wife excluded from property matters,Medium
209,JAMMU & KASHMIR,BUDGAM,2001,husband ridiculed wifes decisions,Medium
210,JAMMU & KASHMIR,CRIME JAMMU,2001,wife denied chance to speak in meetings,Medium
211,JAMMU & KASHMIR,CRIME SRINAGAR,2001,husband shouted at wife during meals,Medium
212,JAMMU & KASHMIR,DODA,2001,wife forced to handle all housework alone,Medium
213,JAMMU & KASHMIR,GANDERBAL,2001,husband insulted wife in front of neighbors,Low
214,JAMMU & KASHMIR,JAMMU,2001,wife silenced when asking questions,Medium
215,JAMMU & KASHMIR,KARGIL,2001,husband insulted wife repeatedly about money,Low
216,JAMMU & KASHMIR,KATHUA,2001,wife denied support during pregnancy,Medium
217,JAMMU & KASHMIR,KULGAM,2001,husband insulted wife about her looks,Low
218,JAMMU & KASHMIR,KUPWARA,2001,wife excluded from family functions,Medium
219,JAMMU & KASHMIR,LEH,2001,husband controlled wifes earnings,Medium
220,JAMMU & KASHMIR,POONCH,2001,wife humiliated over small mistakes,Medium
221,JAMMU & KASHMIR,PULWAMA,2001,husband insulted wife about her clothes,Low
222,JAMMU & KASHMIR,RAILWAYS,2001,wife excluded from discussions,Medium
223,JAMMU & KASHMIR,RAJOURI,2001,husband ridiculed wife in front of friends,Medium
224,JAMMU & KASHMIR,RAMBAN,2001,wife silenced by constant shouting,Medium
225,JAMMU & KASHMIR,REASI,2001,husband insulted wifes cooking daily,Low
226,JAMMU & KASHMIR,SRINAGAR,2001,wife denied her own choices,Medium
227,JAMMU & KASHMIR,UDHAMPUR,2001,husband insulted wifes education level,Low
228,JAMMU & KASHMIR,TOTAL,2001,wife humiliated in public gatherings,Medium
229,JHARKHAND,BOKARO,2001,husband forced wife to leave friends,Medium
230,JHARKHAND,CHAIBASA,2001,wife denied emotional support,Medium
231,JHARKHAND,CHATRA,2001,husband insulted wife without any cause,Low
232,JHARKHAND,DEOGHAR,2001,wife excluded from social circles,Medium
233,JHARKHAND,DHANBAD,2001,husband insulted wife for not obeying,Low
234,JHARKHAND,DHANBAD RLY.,2001,wife silenced in every argument,Low
235,JHARKHAND,DUMKA,2001,husband insulted wife harshly at home,Low
236,JHARKHAND,GARHWA,2001,wife denied respect from husband,Medium
237,JHARKHAND,GIRIDIH,2001,husband insulted wife during festivals,Low
238,JHARKHAND,GODDA,2001,wife humiliated in front of husbands family,Medium
239,JHARKHAND,GUMLA,2001,husband insulted wifes personality,Low
240,JHARKHAND,HAZARIBAGH,2001,wife excluded from conversations,Medium
241,JHARKHAND,JAMSHEDPUR,2001,husband insulted wife constantly at work events,Low
242,JHARKHAND,JAMSHEDPUR RLY.,2001,wife denied her happiness,Medium
243,JHARKHAND,JAMTARA,2001,husband insulted wife in front of children,Low
244,JHARKHAND,KODERMA,2001,wife treated like property by husband,Medium
245,JHARKHAND,LATEHAR,2001,husband insulted wifes hairstyle,Low
246,JHARKHAND,LOHARDAGGA,2001,wife denied peace at home,Medium
247,JHARKHAND,PAKUR,2001,husband insulted wife in community events,Low
248,JHARKHAND,PALAMU,2001,wife forced to accept insults silently,Medium
249,JHARKHAND,RANCHI,2001,husband insulted wife when drunk,Low
250,JHARKHAND,SAHEBGANJ,2001,wife excluded from financial decisions,Medium
251,JHARKHAND,SARAIKELA,2001,husband insulted wife every day,Low
252,JHARKHAND,SIMDEGA,2001,wife denied her right to relax,Medium
253,JHARKHAND,TOTAL,2001,husband insulted wife in gatherings daily,Low
254,KARNATAKA,BAGALKOT,2001,wife humiliated during ceremonies,Medium
255,KARNATAKA,BANGALORE COMMR.,2001,husband insulted wifes intelligence,Low
256,KARNATAKA,BANGALORE RURAL,2001,wife excluded from joyful events,Medium
257,KARNATAKA,BELGAUM,2001,husband insulted wife cruelly in front of others,Low
258,KARNATAKA,BELLARY,2001,wife denied fair treatment,Medium
259,KARNATAKA,BIDAR,2001,husband insulted wife again and again,Low
260,KARNATAKA,BIJAPUR,2001,wife silenced with harsh words,Medium
261,KARNATAKA,CHAMARAJNAGAR,2001,husband insulted wife endlessly,Low
262,KARNATAKA,CHICKMAGALUR,2001,wife insulted unfairly by husband,Low
263,KARNATAKA,CHITRADURGA,2001,husband insulted wife with cruel remarks,Low
264,KARNATAKA,DAKSHIN KANNADA,2001,wife excluded from family outings often,Medium
265,KARNATAKA,DAVANAGERE,2001,husband insulted wife bitterly,Low
266,KARNATAKA,DHARWAD COMMR.,2001,wife treated with contempt by husband,Medium
267,KARNATAKA,DHARWAD RURAL,2001,husband insulted wife during meals regularly,Low
268,KARNATAKA,GADAG,2001,wife humiliated in private,Medium
269,KARNATAKA,GULBARGA,2001,husband insulted wife when angry daily,Low
270,KARNATAKA,HASSAN,2001,wife excluded from decision making always,Medium
271,KARNATAKA,HAVERI,2001,husband insulted wife over small issues daily,Low
272,KARNATAKA,K.G.F.,2001,wife silenced in private arguments,Low
273,KARNATAKA,KODAGU,2001,husband insulted wife in front of guests daily,Low
274,KARNATAKA,KOLAR,2001,wife humiliated harshly,Medium
275,KARNATAKA,KOPPAL,2001,husband insulted wife continuously,Low
276,KARNATAKA,MANDYA,2001,wife denied comfort in marriage,Medium
277,KARNATAKA,MYSORE COMMR.,2001,husband insulted wifes appearance regularly,Low
278,KARNATAKA,MYSORE RURAL,2001,wife excluded from happy moments,Medium
279,KARNATAKA,RAICHUR,2001,husband insulted wife frequently at home,Low
280,KARNATAKA,RAILWAYS,2001,wife humiliated during discussions,Medium
281,KARNATAKA,SHIMOGA,2001,husband insulted wife harshly daily,Low
282,KARNATAKA,TUMKUR,2001,wife excluded from choices in family life,Medium
283,KARNATAKA,UDUPI,2001,husband insulted wife with loud shouting,Low
284,KARNATAKA,UTTAR KANNADA,2001,wife humiliated in gatherings daily,Medium
285,KARNATAKA,TOTAL,2001,husband insulted wife cruelly at events,Low
286,KERALA,ALAPUZHA,2001,wife excluded from celebrations always,Medium
287,KERALA,CBCID,2001,husband insulted wife bitterly at home,Low
288,KERALA,ERNAKULAM,2001,wife humiliated with constant yelling,Medium
289,KERALA,IDUKKI,2001,husband insulted wife harshly at functions,Low
290,KERALA,KANNUR,2001,wife denied her rest constantly,Medium
291,KERALA,KASARGOD,2001,husband insulted wife mercilessly,Low
292,KERALA,KOLLAM,2001,wife excluded from home decisions always,Medium
293,KERALA,KOTTAYAM,2001,husband insulted wife severely,Low
294,KERALA,KOZHIKODE,2001,wife humiliated in family dinners,Medium
295,KERALA,MALAPPURAM,2001,husband insulted wife repeatedly in public,Low
296,KERALA,PALAKKAD,2001,wife denied kindness from husband,Medium
297,KERALA,PATHANAMTHITTA,2001,husband insulted wife harshly in front of kids,Low
298,KERALA,RAILWAYS,2001,wife excluded from outings often,Medium
299,KERALA,THRISSUR,2001,husband insulted wife daily in community,Low
300,KERALA,TRIVANDRUM,2001,wife humiliated at neighborhood events,Medium
301,KERALA,WAYANADU,2001,husband insulted wife unfairly every day,Low
302,KERALA,TOTAL,2001,wife excluded from important talks,Medium
303,MADHYA PRADESH,BALAGHAT,2001,husband insulted wife brutally,Low
304,MADHYA PRADESH,BARWANI,2001,wife humiliated in front of in-laws constantly,Medium
305,MADHYA PRADESH,BETUL,2001,husband insulted wife violently with words,Low
306,MADHYA PRADESH,BHIND,2001,wife excluded from gatherings repeatedly,Medium
307,MADHYA PRADESH,BHOPAL,2001,husband insulted wife savagely,Low
308,MADHYA PRADESH,BHOPAL RLY.,2001,wife humiliated with strong insults,Medium
309,MADHYA PRADESH,CHHATARPUR,2001,husband insulted wife with anger always,Low
310,MADHYA PRADESH,CHHINDWARA,2001,wife excluded from social occasions,Medium
311,MADHYA PRADESH,DAMOH,2001,husband insulted wife repeatedly at meals,Low
312,MADHYA PRADESH,DATIYA,2001,wife humiliated endlessly,Medium
313,MADHYA PRADESH,DEWAS,2001,husband insulted wife with cruel words daily,Low
314,MADHYA PRADESH,DHAR,2001,wife excluded from family decisions regularly,Medium
315,MADHYA PRADESH,DINDORI,2001,husband insulted wife daily at home,Low
316,MADHYA PRADESH,GUNA,2001,wife humiliated in public constantly,Medium
317,MADHYA PRADESH,GWALIOR,2001,husband insulted wife unfairly in private,Low
318,MADHYA PRADESH,HARDA,2001,wife excluded from joyful times,Medium
319,MADHYA PRADESH,HOSHANGABAD,2001,husband insulted wife harshly every day,Low
320,MADHYA PRADESH,INDORE,2001,wife humiliated repeatedly at functions,Medium
321,MADHYA PRADESH,INDORE RLY.,2001,husband insulted wife during events daily,Low
322,MADHYA PRADESH,JABALPUR,2001,wife denied freedom of opinion,Medium
323,MADHYA PRADESH,JABALPUR RLY.,2001,husband insulted wife endlessly at gatherings,Low
324,MADHYA PRADESH,JHABUA,2001,wife humiliated in front of neighbors daily,Medium
325,MADHYA PRADESH,KATNI,2001,husband insulted wife with insults daily,Low
326,MADHYA PRADESH,KHANDWA,2001,wife excluded from choices constantly,Medium
327,MADHYA PRADESH,KHARGON,2001,husband insulted wife every morning,Low
328,MADHYA PRADESH,MANDLA,2001,wife humiliated at breakfast,Medium
329,MADHYA PRADESH,MANDSAUR,2001,husband insulted wife before sleeping,Low
330,MADHYA PRADESH,MORENA,2001,wife excluded from evening talks,Medium
331,MADHYA PRADESH,NARSINGHPUR,2001,husband insulted wife during arguments constantly,Low
332,MADHYA PRADESH,NEEMUCH,2001,wife humiliated with unfair words,Medium
333,MADHYA PRADESH,PANNA,2001,husband insulted wife harshly in front of friends,Low
334,MADHYA PRADESH,RAISEN,2001,wife excluded from personal choices,Medium
335,MADHYA PRADESH,RAJGARH,2001,husband insulted wife daily in gatherings,Low
336,MADHYA PRADESH,RATLAM,2001,wife humiliated without reason,Medium
337,MADHYA PRADESH,REWA,2001,husband insulted wife cruelly at home,Low
338,MADHYA PRADESH,SAGAR,2001,wife excluded from family planning,Medium
339,MADHYA PRADESH,SATNA,2001,husband insulted wife with abusive words,Low
340,MADHYA PRADESH,SEONI,2001,wife humiliated constantly in public,Medium
341,MADHYA PRADESH,SHAHDOL,2001,husband insulted wife again during meals,Low
342,MADHYA PRADESH,SHAJAPUR,2001,wife excluded from decisions in home matters,Medium
343,MADHYA PRADESH,SHEOPUR,2001,husband insulted wife daily in private,Low
344,MADHYA PRADESH,SHIVPURI,2001,wife humiliated harshly every day,Medium
345,MADHYA PRADESH,SIDHI,2001,husband insulted wife mercilessly in public,Low
346,MADHYA PRADESH,SIHORE,2001,wife excluded from respect at home,Medium
347,MADHYA PRADESH,TIKAMGARH,2001,husband insulted wife cruelly every day,Low
348,MADHYA PRADESH,UJJAIN,2001,wife humiliated in front of relatives daily,Medium
349,MADHYA PRADESH,UMARIYA,2001,husband insulted wife harshly in gatherings,Low
350,MADHYA PRADESH,VIDISHA,2001,wife excluded from happiness daily,Medium
351,MADHYA PRADESH,TOTAL,2001,husband insulted wife in front of guests always,Low
352,MAHARASHTRA,AHMEDNAGAR,2001,wife humiliated again and again,Medium
353,MAHARASHTRA,AKOLA,2001,husband insulted wife endlessly in events,Low
354,MAHARASHTRA,AMRAVATI COMMR.,2001,wife excluded from family life,Medium
355,MAHARASHTRA,AMRAVATI RURAL,2001,husband insulted wife every evening,Low
356,MAHARASHTRA,AURANGABAD COMMR.,2001,wife humiliated during conversations daily,Medium
357,MAHARASHTRA,AURANGABAD RURAL,2001,husband insulted wife in cruel ways constantly,Low
358,MAHARASHTRA,BEED,2001,wife excluded from her own decisions,Medium
359,MAHARASHTRA,BHANDARA,2001,husband insulted wife harshly every night,Low
360,MAHARASHTRA,BULDHANA,2001,wife humiliated unfairly each day,Medium
361,MAHARASHTRA,CHANDRAPUR,2001,husband insulted wife in front of children always,Low
362,MAHARASHTRA,DHULE,2001,wife excluded from speaking in gatherings,Medium
363,MAHARASHTRA,GADCHIROLI,2001,husband insulted wife in public cruelly,Low
364,MAHARASHTRA,GONDIA,2001,wife humiliated daily without reason,Medium
365,MAHARASHTRA,HINGOLI,2001,husband insulted wife brutally at events,Low
366,MAHARASHTRA,JALGAON,2001,wife excluded from every decision,Medium
367,MAHARASHTRA,JALNA,2001,husband insulted wife again harshly,Low
368,MAHARASHTRA,KOLHAPUR,2001,wife humiliated continuously daily,Medium
369,MAHARASHTRA,LATUR,2001,husband insulted wife cruelly at home every day,Low
370,MAHARASHTRA,MUMBAI,2001,wife excluded from freedom always,Medium
371,MAHARASHTRA,MUMBAI RLY.,2001,husband insulted wife unfairly at meals,Low
372,MAHARASHTRA,NAGPUR COMMR.,2001,wife humiliated endlessly at gatherings,Medium
373,MAHARASHTRA,NAGPUR RLY.,2001,husband insulted wife daily with anger,Low
374,MAHARASHTRA,NAGPUR RURAL,2001,wife excluded from respect in family,Medium
375,MAHARASHTRA,NANDED,2001,husband insulted wife harshly in public,Low
376,MAHARASHTRA,NANDURBAR,2001,wife humiliated without mercy daily,Medium
